English,Vietnamese
information,thông tin
available,có sẵn
university,trường đại học
management,ban quản lý
international,Quốc tế
development,sự phát triển
education,giáo dục
community,cộng đồng
technology,Công nghệ
following,tiếp theo
resources,tài nguyên
including,bao gồm
directory,danh mục
government,chính phủ
department,phòng
description,sự miêu tả
insurance,bảo hiểm
different,khác biệt
categories,Thể loại
conditions,các điều kiện
accessories,phụ kiện
september,Tháng Chín
questions,câu hỏi
application,đơn xin
financial,tài chính
equipment,Trang thiết bị
performance,màn biểu diễn
experience,kinh nghiệm
important,quan trọng
activities,các hoạt động
additional,thêm vào
something,thứ gì đó
professional,cao thủ
committee,Ủy ban
washington,Washington.
california,California.
reference,tài liệu tham khảo
companies,các công ty
computers,máy tính
president,chủ tịch
australia,Châu Úc
discussion,thảo luận
agreement,hợp đồng
marketing,tiếp thị
association,sự kết hợp
collection,thu thập
solutions,các giải pháp
electronics,thiết bị điện tử
technical,kỹ thuật
microsoft,Microsoft.
conference,hội nghị
environment,môi trường
statement,bản tường trình
downloads,Tải về
applications,các ứng dụng
requirements,Yêu cầu
individual,cá nhân
subscribe,đặt mua
everything,mọi thứ
production,sản xuất
commercial,thương mại
advertising,Quảng cáo
treatment,sự đối đãi
newsletter,Bản tin.
knowledge,hiểu biết
currently,Hiện nay
construction,sự thi công
registered,đăng ký
protection,sự bảo vệ
engineering,kỹ thuật
published,được phát hành
corporate,CÔNG TY.
customers,Khách hàng
materials,vật liệu
countries,Quốc gia
standards,tiêu chuẩn
political,thuộc về chính trị
advertise,Quảng cáo
environmental,thuộc về môi trường
availability,khả dụng
employment,thuê người làm
commission,nhiệm vụ
administration,sự quản lý
institute,học viện
sponsored,tài trợ.
electronic,điện tử
condition,tình trạng
effective,có hiệu lực
organization,tổ chức
selection,Lựa chọn
corporation,tập đoàn
executive,"chấp hành, quản lý"
necessary,cần thiết
according,theo
particular,cụ thể
facilities,cơ sở
opportunities,những cơ hội
appropriate,thích hợp
statistics,số liệu thống kê
investment,đầu tư
christmas,Giáng sinh
registration,đăng ký
furniture,đồ nội thất
wednesday,Thứ Tư
distribution,phân bổ
industrial,công nghiệp
potential,tiềm năng
responsible,chịu trách nhiệm
associated,có liên quan
foundation,sự thành lập
documents,các tài liệu
communication,giao tiếp
independent,sống độc lập
operating,điều hành
developed,đã phát triển
telephone,Điện thoại
population,dân số
navigation,dẫn đường
operations,Hoạt động
therefore,vì thế
christian,Kitô giáo.
understand,hiểu biết
publications,Ấn phẩm.
worldwide,trên toàn thế giới
connection,sự liên quan
publisher,Nhà xuất bản
introduction,Giới thiệu
properties,tính chất
accommodation,chỗ ở
excellent,thông minh
opportunity,dịp tốt
assessment,"thẩm định, lượng định, đánh giá"
especially,đặc biệt là
interface,Giao diện
operation,hoạt động
restaurants,Nhà hàng
beautiful,xinh đẹp
locations,địa điểm
significant,có ý nghĩa
technologies,công nghệ.
manufacturer,nhà chế tạo
providing,cung cấp
authority,thẩm quyền
considered,được xem xét
programme,chương trình
enterprise,Doanh nghiệp
educational,giáo dục
employees,người lao động
alternative,thay thế
processing,Chế biến
responsibility,nhiệm vụ
resolution,nghị quyết
publication,sự xuất bản
relations,Quan hệ
photography,nhiếp ảnh
components,các thành phần
assistance,sự giúp đỡ
completed,hoàn thành
organizations,tổ chức
otherwise,nếu không thì
transportation,vận tải
disclaimer,Tuyên bố miễn trừ trách nhiệm
membership,thành viên
recommended,khuyến khích
background,lai lịch
character,tính cách
maintenance,Sự bảo trì
functions,chức năng
trademarks,Thương hiệu.
phentermine,phentermine.
submitted,ĐĂNG KÝ
television,Tivi
interested,quan tâm đến
throughout,khắp
established,thành lập
programming,Lập trình.
regarding,về
instructions,hướng dẫn
increased,tăng
understanding,hiểu
associates,cộng sự
instruments,dụng cụ
businesses,các doanh nghiệp
specified,quy định
restaurant,nhà hàng
procedures,thủ tục
relationship,mối quan hệ
traditional,truyên thông
sometimes,thỉnh thoảng
transport,vận chuyển
evaluation,đánh giá
implementation,thực hiện
galleries,phòng trưng bày
references,người giới thiệu
presented,trình bày
literature,văn chương
respective,tương ứng
definition,Định nghĩa
networking,Mạng.
australian,người Úc
magazines,tạp chí thời sự
francisco,Francisco.
individuals,cá nhân
guidelines,hướng dẫn
installation,cài đặt
described,mô tả
attention,chú ý
regulations,quy định
certificate,chứng chỉ
documentation,tài liệu
automotive,Ô tô
successful,thành công
communities,cộng đồng
situation,tình hình
publishing,Xuất bản
emergency,trường hợp khẩn cấp
developing,phát triển
determine,quyết tâm
temperature,nhiệt độ
announcements,Thông báo
historical,lịch sử
ringtones,nhạc chuông
difficult,khó khăn
scientific,có tính khoa học
satellite,vệ tinh
particularly,cụ thể
functional,chức năng.
monitoring,giám sát
architecture,ngành kiến ​​trúc
recommend,giới thiệu
dictionary,từ điển
accounting,kế toán
manufacturing,chế tạo
professor,giáo sư
generally,nói chung
continued,tiếp tục
techniques,Kỹ thuật
permission,sự cho phép
generation,thế hệ
component,thành phần
guarantee,Bảo hành
processes,quy trình
interests,Sở thích
paperback,Bìa mềm
classifieds,Rao vặt.
supported,hỗ trợ
competition,sự cạnh tranh
providers,Nhà cung cấp
characters,nhân vật
thousands,Hàng ngàn.
apartments,Căn hộ
generated,tạo ra
administrative,hành chính
practices,thực hành.
reporting,Báo cáo
essential,Thiết yếu
affiliate,Chi nhánh
immediately,ngay lập tức
designated,được chỉ định.
integrated,tích hợp
configuration,cấu hình
comprehensive,toàn diện
universal,phổ quát
languages,Ngôn ngữ.
compliance,sự tuân thủ
improvement,sự cải tiến
pennsylvania,Pennsylvania.
challenge,thách đấu
acceptance,chấp thuận
strategies,chiến lược
affiliates,Chi nhánh
multimedia,Đa phương tiện.
certified,chứng nhận
computing,tin học
interactive,tương tác
procedure,thủ tục
leadership,Khả năng lãnh đạo
religious,Tôn giáo
breakfast,bữa ăn sáng
developer,nhà phát triển
approximately,khoảng
recommendations,khuyến nghị
comparison,so sánh
automatically,tự động
minnesota,Minnesota.
adventure,cuộc phiêu lưu
institutions,thể chế
assistant,phụ tá
advertisement,Quảng cáo
headlines,tiêu đề.
yesterday,hôm qua
determined,xác định
wholesale,bán sỉ
extension,sự mở rộng
statements,các câu lệnh
completely,hoàn toàn
electrical,điện
applicable,áp dụng
manufacturers,Nhà sản xuất của
classical,cổ điển.
dedicated,tận tụy
direction,phương hướng
wisconsin,Wisconsin.
personnel,nhân viên
